Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,560.6215055,606.6946763,651.4171345,637.0870991,625.0549418,565.5697304,522.0822156,525.4697709,491.3372214,496.6025043,510.7870634
Afghanistan,AFG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.479449987,3.462009907,2.604199886,3.454459906,3.695219994,3.255800009,4.543970108,4.343190193,..,..,..
Afghanistan,AFG,"School enrollment, primary (% gross)",SE.PRM.ENRR,103.4856033,101.5420837,106.5753174,107.9428406,109.8294525,106.7735519,106.7840424,106.543541,107.6876602,109.0753098,..
Afghanistan,AFG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,50.44062042,52.44742966,54.37285995,54.88336945,54.29365158,53.15010834,53.43503952,55.53643036,57.35784912,..,..
Afghanistan,AFG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,..,3.686860085,..,..,8.397640228,..,..,..,9.995920181,..,10.85435963
Afghanistan,AFG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,31.45000076,..,..,..,33.75,..,..,..,..,35.98655464
Afghanistan,AFG,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.753,7.784,7.856,7.93,7.915,9.052,10.133,11.184,11.196,11.185,11.71
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,4149.144699,4465.709143,4222.347099,4420.23462,4602.230514,3981.726623,4168.375445,4614.047969,5365.488802,5460.430509,5370.7775
Albania,ALB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,3.178813107,3.295339869,3.539299965,3.181777346,3.437969923,3.962090015,3.611720085,3.082013704,3.870189905,3.325040102
Albania,ALB,"School enrollment, primary (% gross)",SE.PRM.ENRR,99.86183427,101.5802737,102.0673609,101.4749548,105.7705818,105.688653,105.3247774,105.4149709,104.5680153,102.5895412,100.02097
Albania,ALB,"School enrollment, secondary (% gross)",SE.SEC.ENRR,93.68182373,95.47052765,97.60861206,102.9032095,103.3213775,102.4407293,99.17075505,97.57436975,98.82238786,99.01515357,95.92944745
Albania,ALB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,43.32793045,49.39970406,58.6214186,63.84405854,65.55070969,61.96084855,58.48847919,58.01778367,56.08029641,61.40851415,61.58530243
Albania,ALB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,96.84999847,97.25,..,..,..,..,98.81999969,..,..,..
Albania,ALB,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,..,..,0.4,..,0.6,0.1,0.1,0.2,0.1,0,0
Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,14.086,13.481,13.376,15.866,18.055,17.193,15.418,13.616,12.304,11.466,11.69
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,4912.785855,5916.313644,6033.648847,5979.60139,6094.693923,4685.059027,4424.98529,4554.66754,4577.210292,4468.453419,3743.541952
Algeria,DZA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,8.691770901,9.124534486,7.029508898,6.659060355,6.548898415,6.176330146,6.502108435,5.734823509,5.812751272,5.575365634,6.193917245
Algeria,DZA,"School enrollment, primary (% gross)",SE.PRM.ENRR,113.8070265,112.7337645,112.0677474,112.3366302,111.1448372,109.5847874,109.0723074,108.0622719,107.0951219,106.067514,108.5319412
Algeria,DZA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,100.7397766,103.1842728,..,..,..,..,..,..,..,..,..
Algeria,DZA,"School enrollment, tertiary (% gross)",SE.TER.ENRR,30.7344437,32.38660036,33.55709871,35.43862756,36.04279836,38.24447357,43.90406209,49.17768998,52.88193873,53.86450182,53.37521922
Algeria,DZA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,..,0,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,9.96,9.96,10.97,9.82,10.207,11.206,10.202,12,12.137,12.259,14.057
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,10375.17201,10383.45933,11745.48992,11813.5022,12026.33449,12727.41027,12843.33429,11863.68395,12552.05469,12886.13595,14489.25866
American Samoa,ASM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"School enrollment, primary (% gross)",SE.PRM.ENRR,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"School enrollment, tertiary (% gross)",SE.TER.ENRR,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,42746.83095,46657.15612,41500.54358,42470.31612,44369.65969,38654.93472,40129.8192,40672.99433,42819.77458,41257.80458,37361.09007
Andorra,AND,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.976629972,2.98706007,2.565778955,2.506160021,3.074209929,3.28034997,3.237070084,3.217089891,3.246720076,3.15060997,2.632130466
Andorra,AND,"School enrollment, primary (% gross)",SE.PRM.ENRR,84.94455719,86.2257309,83.51870728,85.05122375,87.02633269,88.59574468,91.04157737,90.20313161,90.70889262,90.32392894,89.42712721
Andorra,AND,"School enrollment, secondary (% gross)",SE.SEC.ENRR,85.4886322,86.19689178,87.2305069,86.79360962,88.97815704,91.29621887,94.65241241,95.10903931,95.9804306,96.57433319,97.15003967
Andorra,AND,"School enrollment, tertiary (% gross)",SE.TER.ENRR,..,..,12.87024902,14.54054054,13.53996737,13.82068966,15.20110957,15.66648964,15.71321509,15.43525969,15.2605749
Andorra,AND,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,3597.342932,4615.910598,5086.027401,5057.747878,5005.999741,3213.902611,1807.952941,2437.259712,2538.591391,2189.855714,1449.922867
Angola,AGO,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.421319962,..,3.081910857,4.438949513,..,3.486895804,2.754936646,2.466878811,2.183512989,2.073064382,2.667447337
Angola,AGO,"School enrollment, primary (% gross)",SE.PRM.ENRR,113.8725817,128.3863449,..,..,..,120.5802765,..,..,..,..,..
Angola,AGO,"School enrollment, secondary (% gross)",SE.SEC.ENRR,28.21080388,29.68695178,..,..,..,..,54.41679873,..,..,..,..
Angola,AGO,"School enrollment, tertiary (% gross)",SE.TER.ENRR,..,6.440041383,..,9.223397202,..,8.78320868,9.782876962,..,..,..,..
Angola,AGO,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,66.02999878,66.23999786,..,..,..,..,..
Angola,AGO,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,..,..,..,..,..,..,..,..,16.3,..,..
Angola,AGO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,16.618,16.77,16.562,16.492,16.406,16.49,16.575,16.61,16.594,16.497,16.69
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,15217.39508,14911.72751,15639.80781,15051.51136,15532.10621,16077.63408,16556.85518,16965.72883,18273.42707,18896.37218,15369.60823
Antigua and Barbuda,ATG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..,2.130430259,2.359721431,2.304440938,1.99347553,2.171499315,2.28158315,2.269227084,3.357256534,3.005183046
Antigua and Barbuda,ATG,"School enrollment, primary (% gross)",SE.PRM.ENRR,120.1836777,117.1993103,113.6195679,113.2459162,112.4599228,110.3965836,107.4326553,109.7429123,112.7408371,112.8475769,..
Antigua and Barbuda,ATG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,115.4667435,116.1853714,117.228363,..,115.2704391,117.5577011,..,117.2099304,121.6852493,..,..
Antigua and Barbuda,ATG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,16.69520548,15.10608204,25.11562719,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,10260.13131,12704.28318,12949.71749,12963.67577,12233.14441,13679.6265,12699.96231,14532.50093,11752.79989,9955.974787,8535.59938
Argentina,ARG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.019710064,5.290629864,5.345829964,5.436610222,5.361440182,5.776110172,5.545489788,5.454319954,4.877739906,4.771649837,5.276899815
Argentina,ARG,"School enrollment, primary (% gross)",SE.PRM.ENRR,118.1281967,117.3728333,116.4364395,114.4213486,113.8735199,112.9366531,111.6546478,109.8796692,109.3054581,109.3382187,108.5046234
Argentina,ARG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,99.07099915,100.8845596,102.7099915,104.540863,106.0389023,107.5048676,109.5983276,110.3778,109.6712418,110.4601517,112.3767319
Argentina,ARG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,73.80366936,77.01011851,78.14651743,78.56816461,81.0725897,83.75569333,86.67438329,89.3297347,91.08465127,95.19282406,99.36973487
Argentina,ARG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,99.13999939
Argentina,ARG,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,0.5,0.4,0.4,0.4,0.4,..,0.4,0.4,0.6,0.6,0.7
Argentina,ARG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.714,7.18,7.217,7.1,7.268,7.579,8.085,8.347,9.22,9.843,11.461
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,3041.344507,3349.553098,3511.563997,3680.166922,3852.118006,3512.393503,3524.424769,3869.053739,4196.005623,4597.228874,4268.680933
Armenia,ARM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.249000072,3.143850088,2.772480011,2.650180101,2.247240067,2.80591011,2.75812006,2.707590103,2.113311805,2.159842398,2.705559969
Armenia,ARM,"School enrollment, primary (% gross)",SE.PRM.ENRR,100.9858666,98.33490373,97.08812744,95.87429273,94.41776035,93.08805914,93.11080035,93.09899578,92.13450082,92.32282405,92.86926181
Armenia,ARM,"School enrollment, secondary (% gross)",SE.SEC.ENRR,107.7323914,94.87740326,..,86.87219238,86.520401,86.44213867,..,..,83.02494108,86.8260633,88.50802982
Armenia,ARM,"School enrollment, tertiary (% gross)",SE.TER.ENRR,50.58398759,51.29492907,44.48557195,44.83477909,47.71508495,48.7313687,54.34328774,55.50655195,57.45853577,53.59441748,52.33315344
Armenia,ARM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,99.73999786,..,..,..,..,99.73999786,99.73999786,..,..,99.79000092
Armenia,ARM,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,0.5,0.5,0.4,0.7,0.6,0.5,0.4,0.4,0.5,0.4,0.2
Armenia,ARM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,19.523,18.884,17.511,16.576,17.498,18.261,17.617,17.704,18.966,18.304,18.175
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,24093.14015,25712.3843,25119.66554,25813.57673,26129.83906,27458.22533,27441.52966,28440.05196,30082.12764,31096.20507,22855.93232
Aruba,ABW,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,6.75109005,5.914669991,6.347290039,6.442959785,5.851280212,5.888269901,5.491360188,4.455819961,4.548763552,4.435036868,..
Aruba,ABW,"School enrollment, primary (% gross)",SE.PRM.ENRR,119.7958374,106.3740387,104.0749435,114.98532,116.2619922,115.0114087,113.6374637,..,107.9851685,108.0250015,107.2353363
Aruba,ABW,"School enrollment, secondary (% gross)",SE.SEC.ENRR,98.22074127,96.63391876,108.9761887,..,..,..,..,..,137.8297882,139.3205872,135.1247253
Aruba,ABW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,36.06253052,37.86481094,38.86418152,17.12586975,17.75189972,16.73123932,17.14162064,..,..,..,..
Aruba,ABW,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,96.81999969,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,52144.66547,62605.60046,68072.87323,68190.701,62544.08738,56739.02653,49888.04108,53901.71454,57196.42208,54972.70179,51791.54018
Australia,AUS,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,5.386250019
Australia,AUS,"School enrollment, primary (% gross)",SE.PRM.ENRR,105.4885025,105.2748795,105.6697235,105.8025818,105.4616013,101.6654892,101.180687,100.6376572,100.3987122,100.1996994,99.90110779
Australia,AUS,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,159.1107635,155.5943909,153.5761261,136.105545,144.0565643,137.4907379
Australia,AUS,"School enrollment, tertiary (% gross)",SE.TER.ENRR,..,..,..,..,..,119.67939,119.6827774,109.993309,103.3220901,109.7595596,110.1392212
Australia,AUS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,0.3,..,..,..,0.4,..,0.3,..,0.4,..,0.6
Australia,AUS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.214,5.083,5.225,5.663,6.078,6.055,5.711,5.592,5.3,5.159,6.456
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,46611.13934,51116.89535,48250.40591,50305.35458,51314.97226,43915.22802,45061.49939,47163.74258,51194.07498,49885.99474,48716.40989
Austria,AUT,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.736259937,5.627870083,5.516119957,5.594059944,5.49766016,5.491449833,5.509540081,5.401810169,5.254370213,5.236780167,5.579619884
Austria,AUT,"School enrollment, primary (% gross)",SE.PRM.ENRR,100.8355408,100.5583267,100.3351135,100.7460785,100.9703217,101.104393,100.4280777,101.1045685,101.3703003,101.7762909,101.5608521
Austria,AUT,"School enrollment, secondary (% gross)",SE.SEC.ENRR,100.2639694,99.67295837,100.1087265,101.1732101,101.3048096,101.4115829,100.2279892,100.3378983,100.6925964,101.5436325,101.6905594
Austria,AUT,"School enrollment, tertiary (% gross)",SE.TER.ENRR,75.04025269,77.26251221,79.54712677,80.96160126,81.0195694,82.25630951,82.8496933,83.83925629,85.86988831,86.32343292,88.7071991
Austria,AUT,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,0.4,0.3,0.5,0.2,0.2,0.5,0.5,0.2,0.5,0.5,0.6
Austria,AUT,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.883,4.637,4.909,5.367,5.674,5.802,6.064,5.561,4.933,4.56,5.201
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,5843.533768,7189.818692,7495.865277,7875.345367,7890.840281,5500.503646,3880.685228,4147.198142,4739.794312,4805.753718,4229.910649
Azerbaijan,AZE,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.780620098,2.435640097,2.067630053,2.442130089,2.633039951,2.951679945,2.903409958,2.473819971,2.455430031,3.176460028,4.332049847
Azerbaijan,AZE,"School enrollment, primary (% gross)",SE.PRM.ENRR,93.76230317,95.57363224,97.95530735,100.5004478,106.0598859,106.6014944,106.4317394,103.2941,99.72210142,97.93535033,98.23607139
Azerbaijan,AZE,"School enrollment, secondary (% gross)",SE.SEC.ENRR,83.08531815,82.91762054,82.76227492,83.13765536,83.43866002,84.80985864,86.58569358,89.26251647,108.4887811,107.8639605,91.3655135
